OBJT_ID,OCCU_YEAR,OCCU_MT,OCCU_DE,OCCU_TM,OCCU_DAY,OCCU_DATE,LCLAS,SCLAS,DEATH,SWPSN,SINJPSN,INJPSN,BIG,DRNKG,KID,ODSN,WLKG,VIOLT_CN,CTPRVN_CD,SGG_CD,EMD_CD,X,Y
1,2023,08,08,21,화요일,20230808,경상,차대차,0,0,4,0,null,null,null,null,null,안전운전 의무 불이행,11,11110,11110101,126.967214202,37.5893182005
2,2023,02,18,21,토요일,20230218,경상,차량단독,0,0,1,0,null,null,null,null,null,안전운전 의무 불이행,11,11110,11110101,126.970234999,37.5850143627
3,2023,01,04,18,수요일,20230104,중상,차대사람,0,1,0,0,null,null,null,null,O,기타,11,11110,11110101,126.969818574,37.5862383203
4,2023,05,25,08,목요일,20230525,부상신고,차대차,0,0,0,1,null,null,null,null,null,안전운전 의무 불이행,11,11110,11110101,126.967622983,37.5891758302
5,2023,07,29,08,토요일,20230729,경상,차대차,0,0,1,0,null,null,null,null,null,안전거리 미확보,11,11110,11110101,126.967125294,37.5922561764
6,2023,08,07,06,월요일,20230807,중상,차대차,0,1,0,0,null,null,null,O,null,안전운전 의무 불이행,11,11110,11110101,126.969457743,37.5876067409
7,2023,08,13,02,일요일,20230813,부상신고,차량단독,0,0,0,1,null,O,null,null,null,안전운전 의무 불이행,11,11110,11110101,126.965161759,37.5912197647
8,2023,08,08,15,화요일,20230808,경상,차대차,0,0,2,0,null,null,null,null,null,안전운전 의무 불이행,11,11110,11110101,126.96686173,37.589505891
9,2023,08,16,19,수요일,20230816,중상,차대차,0,2,0,0,null,null,null,null,null,교차로 통행방법 위반,11,11110,11110102,126.970344978,37.5838791631
10,2023,06,01,10,목요일,20230601,경상,차대차,0,0,1,0,null,null,null,null,null,안전운전 의무 불이행,11,11110,11110103,126.972706961,37.5846108131
11,2023,09,14,14,목요일,20230914,경상,차대차,0,0,2,0,null,null,null,null,null,신호위반,11,11110,11110103,126.972509011,37.5837716788
12,2023,05,21,21,일요일,20230521,경상,차대차,0,0,1,0,null,O,null,null,null,안전운전 의무 불이행,11,11110,11110103,126.972820854,37.5845211874
13,2023,04,12,16,수요일,20230412,경상,차량단독,0,0,1,0,null,null,null,null,null,기타,11,11110,11110104,126.970341316,37.5827975339
14,2023,02,11,13,토요일,20230211,경상,차대차,0,0,1,0,null,null,null,null,null,안전운전 의무 불이행,11,11110,11110104,126.970973212,37.5815294723
